"state","placefp","county","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","State abbreviation","County name","Place name","Population (2010)","placefp to county allocation factor"
"40","35850","40113","OK","Osage OK","Hominy city, OK",3565,1 
"40","36000","40139","OK","Texas OK","Hooker city, OK",1918,1 
"40","36020","40097","OK","Mayes OK","Hoot Owl town, OK",4,1 
"40","36090","40063","OK","Hughes OK","Horntown town, OK",97,1 
"40","36150","40079","OK","Le Flore OK","Howe town, OK",802,1 
"40","36300","40023","OK","Choctaw OK","Hugo city, OK",5310,1 
"40","36400","40021","OK","Cherokee OK","Hulbert town, OK",590,1 
"40","36600","40047","OK","Garfield OK","Hunter town, OK",165,1 
"40","36700","40011","OK","Blaine OK","Hydro town, OK",277,0.2859 
"40","36700","40015","OK","Caddo OK","Hydro town, OK",692,0.7141 
"40","36750","40089","OK","McCurtain OK","Idabel city, OK",7010,1 
"40","36850","40031","OK","Comanche OK","Indiahoma town, OK",344,1 
"40","36945","40041","OK","Delaware OK","Indianola CDP, OK",48,1 
"40","36950","40121","OK","Pittsburg OK","Indianola town, OK",162,1 
"40","37100","40131","OK","Rogers OK","Inola town, OK",1788,1 
"40","37275","40097","OK","Mayes OK","Iron Post CDP, OK",92,1 
"40","37350","40093","OK","Major OK","Isabella CDP, OK",136,1 
"40","37410","40107","OK","Okfuskee OK","IXL town, OK",51,1 
"40","37650","40041","OK","Delaware OK","Jay city, OK",2448,1 
"40","37750","40053","OK","Grant OK","Jefferson town, OK",12,1 
"40","37800","40143","OK","Tulsa OK","Jenks city, OK",16924,1 
"40","37850","40117","OK","Pawnee OK","Jennings town, OK",363,1 
"40","38000","40003","OK","Alfalfa OK","Jet town, OK",213,1 
"40","38200","40125","OK","Pottawatomie OK","Johnson town, OK",247,1 
"40","38350","40109","OK","Oklahoma OK","Jones town, OK",2692,1 
"40","38475","40131","OK","Rogers OK","Justice CDP, OK",1324,1 
"40","38600","40041","OK","Delaware OK","Kansas town, OK",802,1 
"40","38700","40049","OK","Garvin OK","Katie town, OK",348,1 
"40","38800","40071","OK","Kay OK","Kaw City city, OK",375,1 
"40","39000","40037","OK","Creek OK","Kellyville town, OK",1150,1 
"40","39050","40013","OK","Bryan OK","Kemp town, OK",133,1 
"40","39150","40081","OK","Lincoln OK","Kendrick town, OK",139,1 
"40","39200","40013","OK","Bryan OK","Kenefic town, OK",196,1 
"40","39400","40025","OK","Cimarron OK","Kenton CDP, OK",17,1 
"40","39450","40041","OK","Delaware OK","Kenwood CDP, OK",617,0.5041 
"40","39450","40097","OK","Mayes OK","Kenwood CDP, OK",607,0.4959 
"40","39500","40061","OK","Haskell OK","Keota town, OK",564,1 
"40","39550","40035","OK","Craig OK","Ketchum town, OK",399,0.9027 
"40","39550","40041","OK","Delaware OK","Ketchum town, OK",20,0.0452 
"40","39550","40097","OK","Mayes OK","Ketchum town, OK",23,0.052 
"40","39600","40025","OK","Cimarron OK","Keyes town, OK",324,1 
"40","39625","40021","OK","Cherokee OK","Keys CDP, OK",565,1 
"40","39750","40037","OK","Creek OK","Kiefer town, OK",1685,1 
"40","39800","40071","OK","Kay OK","Kildare town, OK",100,1 
"40","39850","40073","OK","Kingfisher OK","Kingfisher city, OK",4633,1 
"40","39900","40095","OK","Marshall OK","Kingston town, OK",1601,1 
"40","39950","40061","OK","Haskell OK","Kinta town, OK",297,1 
"40","40000","40121","OK","Pittsburg OK","Kiowa town, OK",731,1 
"40","40100","40007","OK","Beaver OK","Knowles town, OK",11,1 
"40","40200","40133","OK","Seminole OK","Konawa city, OK",1298,1 
"40","40300","40121","OK","Pittsburg OK","Krebs city, OK",2053,1 
"40","40400","40047","OK","Garfield OK","Kremlin town, OK",255,1 
"40","40700","40047","OK","Garfield OK","Lahoma town, OK",611,1 
"40","40800","40109","OK","Oklahoma OK","Lake Aluma town, OK",88,1 
"40","41250","40063","OK","Hughes OK","Lamar town, OK",158,1 
"40","41300","40003","OK","Alfalfa OK","Lambert town, OK",6,1 
"40","41350","40053","OK","Grant OK","Lamont town, OK",417,1 
"40","41400","40005","OK","Atoka OK","Lane CDP, OK",414,1 
"40","41500","40097","OK","Mayes OK","Langley town, OK",819,1 
"40","41550","40083","OK","Logan OK","Langston town, OK",1724,1 
"40","41700","40059","OK","Harper OK","Laverne town, OK",1344,1 
"40","41760","40037","OK","Creek OK","Lawrence Creek town, OK",149,1 
"40","41850","40031","OK","Comanche OK","Lawton city, OK",96867,1 
"40","41900","40041","OK","Delaware OK","Leach CDP, OK",237,1 
"40","41950","40095","OK","Marshall OK","Lebanon CDP, OK",303,1 
