CBSA Code,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,CBSA Title,CBSA First Listed City,If
14780,Micropolitan Statistical Area,Brenham,48,10156,"Brenham, TX",Brenham,1
14820,Micropolitan Statistical Area,Brevard,37,07720,"Brevard, NC",Brevard,1
14860,Metropolitan Statistical Area,Bridgeport,09,08000,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,1
14860,Metropolitan Statistical Area,Danbury,09,18430,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,0
14860,Metropolitan Statistical Area,Norwalk,09,55990,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,0
14860,Metropolitan Statistical Area,Stamford,09,73000,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,0
14860,Metropolitan Statistical Area,Stratford,09,74260,"Bridgeport-Stamford-Norwalk, CT",Bridgeport,0
15020,Micropolitan Statistical Area,Brookhaven,28,08820,"Brookhaven, MS",Brookhaven,1
15060,Micropolitan Statistical Area,Brookings,41,08650,"Brookings, OR",Brookings,1
15100,Micropolitan Statistical Area,Brookings,46,07580,"Brookings, SD",Brookings,1
15140,Micropolitan Statistical Area,Brownsville,47,08920,"Brownsville, TN",Brownsville,1
15180,Metropolitan Statistical Area,Brownsville,48,10768,"Brownsville-Harlingen, TX",Brownsville,1
15180,Metropolitan Statistical Area,Harlingen,48,32372,"Brownsville-Harlingen, TX",Brownsville,0
15220,Micropolitan Statistical Area,Brownwood,48,10780,"Brownwood, TX",Brownwood,1
15260,Metropolitan Statistical Area,Brunswick,13,11560,"Brunswick, GA",Brunswick,1
15340,Micropolitan Statistical Area,Bucyrus,39,10030,"Bucyrus-Galion, OH",Bucyrus,1
15340,Micropolitan Statistical Area,Galion,39,29162,"Bucyrus-Galion, OH",Bucyrus,0
15380,Metropolitan Statistical Area,Buffalo,36,11000,"Buffalo-Cheektowaga, NY",Buffalo,1
15380,Metropolitan Statistical Area,Cheektowaga,36,15000,"Buffalo-Cheektowaga, NY",Buffalo,0
15420,Micropolitan Statistical Area,Burley,16,11260,"Burley, ID",Burley,1
15460,Micropolitan Statistical Area,Burlington,19,09550,"Burlington, IA-IL",Burlington,1
15500,Metropolitan Statistical Area,Burlington,37,09060,"Burlington, NC",Burlington,1
15540,Metropolitan Statistical Area,Burlington,50,10675,"Burlington-South Burlington, VT",Burlington,1
15540,Metropolitan Statistical Area,South Burlington,50,66175,"Burlington-South Burlington, VT",Burlington,0
15580,Micropolitan Statistical Area,Butte,30,11397,"Butte-Silver Bow, MT",Butte,1
15620,Micropolitan Statistical Area,Cadillac,26,12320,"Cadillac, MI",Cadillac,1
15660,Micropolitan Statistical Area,Calhoun,13,12456,"Calhoun, GA",Calhoun,1
15680,Metropolitan Statistical Area,California,24,12150,"California-Lexington Park, MD",California,1
15680,Metropolitan Statistical Area,Lexington Park,24,46725,"California-Lexington Park, MD",California,0
15700,Micropolitan Statistical Area,Cambridge,24,12400,"Cambridge, MD",Cambridge,1
15740,Micropolitan Statistical Area,Cambridge,39,10996,"Cambridge, OH",Cambridge,1
15780,Micropolitan Statistical Area,Camden,05,10720,"Camden, AR",Camden,1
15820,Micropolitan Statistical Area,Campbellsville,21,12160,"Campbellsville, KY",Campbellsville,1
15860,Micropolitan Statistical Area,Cañon City,08,11810,"Cañon City, CO",Cañon City,1
15940,Metropolitan Statistical Area,Canton,39,12000,"Canton-Massillon, OH",Canton,1
15940,Metropolitan Statistical Area,Massillon,39,48244,"Canton-Massillon, OH",Canton,0
15980,Metropolitan Statistical Area,Cape Coral,12,10275,"Cape Coral-Fort Myers, FL",Cape Coral,1
15980,Metropolitan Statistical Area,Fort Myers,12,24125,"Cape Coral-Fort Myers, FL",Cape Coral,0
16020,Metropolitan Statistical Area,Cape Girardeau,29,11242,"Cape Girardeau, MO-IL",Cape Girardeau,1
16060,Metropolitan Statistical Area,Carbondale,17,11163,"Carbondale-Marion, IL",Carbondale,1
16060,Metropolitan Statistical Area,Marion,17,46916,"Carbondale-Marion, IL",Carbondale,0
16100,Micropolitan Statistical Area,Artesia,35,05220,"Carlsbad-Artesia, NM",Carlsbad,0
16100,Micropolitan Statistical Area,Carlsbad,35,12150,"Carlsbad-Artesia, NM",Carlsbad,1
16140,Micropolitan Statistical Area,Carroll,19,11080,"Carroll, IA",Carroll,1
16180,Metropolitan Statistical Area,Carson City,32,09700,"Carson City, NV",Carson City,1
16220,Metropolitan Statistical Area,Casper,56,13150,"Casper, WY",Casper,1
16260,Micropolitan Statistical Area,Cedar City,49,11320,"Cedar City, UT",Cedar City,1
16300,Metropolitan Statistical Area,Cedar Rapids,19,12000,"Cedar Rapids, IA",Cedar Rapids,1
16340,Micropolitan Statistical Area,Cedartown,13,14500,"Cedartown, GA",Cedartown,1
16380,Micropolitan Statistical Area,Celina,39,12868,"Celina, OH",Celina,1
16420,Micropolitan Statistical Area,Central City,21,13978,"Central City, KY",Central City,1
16460,Micropolitan Statistical Area,Centralia,17,12164,"Centralia, IL",Centralia,1
16500,Micropolitan Statistical Area,Centralia,53,11160,"Centralia, WA",Centralia,1
16540,Metropolitan Statistical Area,Chambersburg,42,12536,"Chambersburg-Waynesboro, PA",Chambersburg,1
16540,Metropolitan Statistical Area,Waynesboro,42,81824,"Chambersburg-Waynesboro, PA",Chambersburg,0
16580,Metropolitan Statistical Area,Champaign,17,12385,"Champaign-Urbana, IL",Champaign,1
16580,Metropolitan Statistical Area,Urbana,17,77005,"Champaign-Urbana, IL",Champaign,0
16620,Metropolitan Statistical Area,Charleston,54,14600,"Charleston, WV",Charleston,1
16660,Micropolitan Statistical Area,Charleston,17,12567,"Charleston-Mattoon, IL",Charleston,1
16660,Micropolitan Statistical Area,Mattoon,17,47553,"Charleston-Mattoon, IL",Charleston,0
16700,Metropolitan Statistical Area,Charleston,45,13330,"Charleston-North Charleston, SC",Charleston,1
16700,Metropolitan Statistical Area,North Charleston,45,50875,"Charleston-North Charleston, SC",Charleston,0
16740,Metropolitan Statistical Area,Charlotte,37,12000,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,1
16740,Metropolitan Statistical Area,Concord,37,14100,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,0
16740,Metropolitan Statistical Area,Gastonia,37,25580,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,0
16740,Metropolitan Statistical Area,Rock Hill,45,61405,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,0
16820,Metropolitan Statistical Area,Charlottesville,51,14968,"Charlottesville, VA",Charlottesville,1
16860,Metropolitan Statistical Area,Chattanooga,47,14000,"Chattanooga, TN-GA",Chattanooga,1
16940,Metropolitan Statistical Area,Cheyenne,56,13900,"Cheyenne, WY",Cheyenne,1
16980,Metropolitan Statistical Area,Bolingbrook,17,07133,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,0
16980,Metropolitan Statistical Area,Chicago,17,14000,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,1
16980,Metropolitan Statistical Area,Des Plaines,17,19642,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,0
16980,Metropolitan Statistical Area,Elgin,17,23074,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,0
