city_fips,pop_2020
4049050,164
4049100,854
4049200,62793
4049250,1178
4049400,1299
4049450,723
4049550,932
4049600,320
4049650,740
4049750,60
4049825,96
4049850,3272
4049900,212
4049950,140
4050050,36878
4050100,19879
4050150,63
4050200,92
4050250,43
4050300,192
4050350,51
4050800,71
4050975,90
4051050,89
4051150,10984
4051250,2775
4051275,400
4051300,2172
4051750,60
4051800,3870
4051850,2313
4051900,286
4052100,775
4052150,6985
4052450,129
4052500,128026
4052600,1003
4052700,290
4052859,1679
4052862,302
4052900,3517
4053210,22
4053301,191
4053350,2262
4053400,831
4053550,267
4053600,74
4053700,427
4054000,885
4054050,1141
4054100,505
4054150,1090
4054200,3074
4055000,681054
4055150,11322
4055200,343
4055275,23
4055285,310
4055350,110
4055450,468
4055750,1305
4055850,338
4056050,130
4056150,177
4056650,38240
4056800,419
4056900,1269
4056950,73
4057100,583
4057150,73
4057300,3193
4057550,5992
4057600,2984
4057650,1936
4057875,372
4057900,38
4057950,789
4058050,101
4058100,126
4058150,3205
4058250,4484
4058300,42
4058400,829
4058500,122
4058650,774
4058700,7402
4059100,101
4059125,139
4059150,2091
4059175,321
4059350,180
4059500,159
4059700,183
4059750,4255
4059850,24424
4059950,885
4060000,81
4060150,561
4060250,602
4060350,8807
4060500,2356
4060650,169
4060750,180
4060850,374
4061000,9444
4061020,160
4061113,176
4061150,6651
4061250,30
4061400,811
4061450,39
4061500,28
4061550,863
4061650,266
4061700,524
4061850,289
4061900,64
4061950,276
4062000,464
4062100,67
4062200,89
4062275,526
4062550,537
4062650,245
4062875,505
4062900,15
4062950,103
4063100,137
4063350,869
4063450,401
4063500,346
4063537,248
4063600,717
4063700,128
4063715,283
4063720,471
4063730,946
4063750,632
4063800,3316
4063900,254
4063950,225
4064000,62
4064050,52
4064300,997
4064600,667
4064850,121
4064950,1085
4065000,8510
4065062,132
4065240,339
4065250,251
4065300,19874
4065400,21929
4065500,80
4065600,623
4065650,340
4065700,4809
4065900,422
4065950,53
4066250,850
4066300,12
4066350,7146
4066400,763
4066450,730
4066500,26
4066510,519
4066520,487
4066550,972
4066600,65
4066650,133
4066750,1249
4066800,31377
4067200,328
4067400,290
4067550,384
4067625,261
4067800,62
4067850,8450
4067950,4163
4068000,151
4068200,49
4068250,77
4068275,255
4068400,1301
4068500,225
4068537,71
4068600,683
4068950,122
4068951,202
4069000,149
4069050,350
4069200,3978
4069300,1115
4069350,2102
4069392,239
4069400,317
4069500,685
4070037,292
4070150,668
4070200,17
4070250,2703
4070300,48394
4070350,3700
4070500,414
4070512,176
4070750,64
4070800,1405
4070850,419
4070950,33
4071000,2719
4071050,192
4071250,22
4071350,5065
4071450,108
4071500,35
4071650,853
4071900,102
4071950,65
4071965,65
4072050,174
4072075,12
4072100,16209
4072200,258
4072250,925
4072350,288
4072400,152
4072500,111
4072610,819
4072650,6302
4072750,862
4072775,390
4072800,188
4072850,77
4072900,280
4072950,2293
4073100,856
4073150,43
4073200,400
4073250,9538
4073450,1143
4073600,235
4073850,864
4073900,3101
4073950,259
4074150,3015
4074159,310
4074180,911
4074400,337
4074550,378
4074650,83
4075000,413066
4075050,327
4075150,2607
4075200,442
4075250,413
4075300,102
4075450,7413
4075575,178
4075600,328
4075750,729
4075950,1794
4076350,51
4076500,665
4076600,19
4076650,819
4076850,146
4076900,554
4076950,334
4077000,508
4077050,5256
